Date,City_name,Views
2021-01-01,Addis Ababa,0
2021-01-02,Addis Ababa,0
2021-01-03,Addis Ababa,0
2021-01-04,Addis Ababa,0
2021-01-05,Addis Ababa,0
2021-01-06,Addis Ababa,0
2021-01-07,Addis Ababa,0
2021-01-08,Addis Ababa,0
2021-01-09,Addis Ababa,0
2021-01-10,Addis Ababa,0
2021-01-11,Addis Ababa,0
2021-01-12,Addis Ababa,0
2021-01-13,Addis Ababa,0
2021-01-14,Addis Ababa,0
2021-01-15,Addis Ababa,0
2021-01-16,Addis Ababa,0
2021-01-17,Addis Ababa,0
2021-01-18,Addis Ababa,0
2021-01-19,Addis Ababa,0
2021-01-20,Addis Ababa,0
2021-01-21,Addis Ababa,0
2021-01-22,Addis Ababa,0
2021-01-23,Addis Ababa,0
2021-01-24,Addis Ababa,0
2021-01-25,Addis Ababa,0
2021-01-26,Addis Ababa,0
2021-01-27,Addis Ababa,0
2021-01-28,Addis Ababa,0
2021-01-29,Addis Ababa,0
2021-01-30,Addis Ababa,0
2021-01-31,Addis Ababa,0
2021-02-01,Addis Ababa,0
2021-02-02,Addis Ababa,0
2021-02-03,Addis Ababa,0
2021-02-04,Addis Ababa,0
2021-02-05,Addis Ababa,0
2021-02-06,Addis Ababa,0
2021-02-07,Addis Ababa,0
2021-02-08,Addis Ababa,0
2021-02-09,Addis Ababa,0
2021-02-10,Addis Ababa,0
2021-02-11,Addis Ababa,0
2021-02-12,Addis Ababa,0
2021-02-13,Addis Ababa,0
2021-02-14,Addis Ababa,0
2021-02-15,Addis Ababa,0
2021-02-16,Addis Ababa,0
2021-02-17,Addis Ababa,0
2021-02-18,Addis Ababa,0
2021-02-19,Addis Ababa,0
2021-02-20,Addis Ababa,0
2021-02-21,Addis Ababa,0
2021-02-22,Addis Ababa,0
2021-02-23,Addis Ababa,0
2021-02-24,Addis Ababa,0
2021-02-25,Addis Ababa,0
2021-02-26,Addis Ababa,0
2021-02-27,Addis Ababa,0
2021-02-28,Addis Ababa,0
2021-03-01,Addis Ababa,0
2021-03-02,Addis Ababa,0
2021-03-03,Addis Ababa,0
2021-03-04,Addis Ababa,0
2021-03-05,Addis Ababa,0
2021-03-06,Addis Ababa,0
2021-03-07,Addis Ababa,0
2021-03-08,Addis Ababa,0
2021-03-09,Addis Ababa,0
2021-03-10,Addis Ababa,0
2021-03-11,Addis Ababa,0
2021-03-12,Addis Ababa,0
2021-03-13,Addis Ababa,0
2021-03-14,Addis Ababa,0
2021-03-15,Addis Ababa,0
2021-03-16,Addis Ababa,0
2021-03-17,Addis Ababa,0
2021-03-18,Addis Ababa,0
2021-03-19,Addis Ababa,0
2021-03-20,Addis Ababa,0
2021-03-21,Addis Ababa,0
2021-03-22,Addis Ababa,0
2021-03-23,Addis Ababa,0
2021-03-24,Addis Ababa,0
2021-03-25,Addis Ababa,0
2021-03-26,Addis Ababa,0
2021-03-27,Addis Ababa,0
2021-03-28,Addis Ababa,0
2021-03-29,Addis Ababa,0
2021-03-30,Addis Ababa,0
2021-03-31,Addis Ababa,0
2021-04-01,Addis Ababa,0
2021-04-02,Addis Ababa,0
2021-04-03,Addis Ababa,0
2021-04-04,Addis Ababa,0
2021-04-05,Addis Ababa,0
2021-04-06,Addis Ababa,0
2021-04-07,Addis Ababa,0
2021-04-08,Addis Ababa,0
2021-04-09,Addis Ababa,0
2021-04-10,Addis Ababa,0
2021-04-11,Addis Ababa,0
2021-04-12,Addis Ababa,0
2021-04-13,Addis Ababa,0
2021-04-14,Addis Ababa,0
2021-04-15,Addis Ababa,0
2021-04-16,Addis Ababa,0
2021-04-17,Addis Ababa,0
2021-04-18,Addis Ababa,0
2021-04-19,Addis Ababa,0
2021-04-20,Addis Ababa,0
2021-04-21,Addis Ababa,0
2021-04-22,Addis Ababa,0
2021-04-23,Addis Ababa,0
2021-04-24,Addis Ababa,0
2021-04-25,Addis Ababa,0
2021-04-26,Addis Ababa,0
2021-04-27,Addis Ababa,0
